version,aim_sigma_sum,contact,fair,familiar,pitch,quality_sum,rating,swings,timing_miss,trials,x
before,30.72,5,3,fresh,pitch.overhand_four_seam,1.25424391507798,3,10,0,96,-0.85
before,26.4363929807215,4,4,repeat,pitch.overhand_four_seam,1.36590883416642,3,8,0,96,-0.85
before,30.72,5,3,mixed,pitch.overhand_four_seam,1.25424391507798,3,10,0,96,-0.85
before,30.72,5,5,fresh,pitch.overhand_four_seam,1.52357944278065,5,10,0,96,-0.85
before,23.7531541023569,4,4,repeat,pitch.overhand_four_seam,1.78235134957286,5,8,0,96,-0.85
before,30.7016134249413,5,5,mixed,pitch.overhand_four_seam,1.52357944278065,5,10,0,96,-0.85
before,28.6021190130857,8,7,fresh,pitch.overhand_four_seam,2.42989817431294,8,10,0,96,-0.85
before,19.72406899007,8,6,repeat,pitch.overhand_four_seam,3.19251261152282,8,8,0,96,-0.85
before,27.5091692641729,8,8,mixed,pitch.overhand_four_seam,2.63525263281068,8,10,0,96,-0.85
before,25.6862136318289,38,27,fresh,pitch.overhand_four_seam,11.3974896620509,3,80,0,96,-0.35
before,16.8106104930789,69,49,repeat,pitch.overhand_four_seam,23.770374506002,3,91,0,96,-0.35
before,24.5902028577245,43,36,mixed,pitch.overhand_four_seam,13.0171276685913,3,82,0,96,-0.35
before,22.9933684537182,54,45,fresh,pitch.overhand_four_seam,17.6348256604024,5,80,0,96,-0.35
before,14.1265327193051,78,68,repeat,pitch.overhand_four_seam,33.6484469370395,5,91,0,96,-0.35
before,21.8980355869972,56,47,mixed,pitch.overhand_four_seam,19.2255356633529,5,82,0,96,-0.35
before,18.9526184803186,76,64,fresh,pitch.overhand_four_seam,30.7671988164466,8,80,0,96,-0.35
before,10.1022203895329,91,87,repeat,pitch.overhand_four_seam,49.3845329462364,8,91,0,96,-0.35
before,17.8655492760355,80,75,mixed,pitch.overhand_four_seam,33.6749903189809,8,82,0,96,-0.35
before,23.8170163348218,45,34,fresh,pitch.overhand_four_seam,15.2164503605292,3,88,0,96,0.0
before,15.0045416297095,72,52,repeat,pitch.overhand_four_seam,25.3838854166268,3,96,0,96,0.0
before,22.7271783241896,48,40,mixed,pitch.overhand_four_seam,16.0955268064251,3,88,0,96,0.0
before,21.123354438454,61,46,fresh,pitch.overhand_four_seam,21.0497636904679,5,88,0,96,0.0
before,12.3246458212019,82,71,repeat,pitch.overhand_four_seam,36.1665922475394,5,96,0,96,0.0
before,20.0332958895706,68,48,mixed,pitch.overhand_four_seam,22.8975462288204,5,88,0,96,0.0
before,17.0748898896517,84,78,fresh,pitch.overhand_four_seam,36.5370546857196,8,88,0,96,0.0
before,8.30662299215545,96,94,repeat,pitch.overhand_four_seam,52.7325531728109,8,96,0,96,0.0
before,15.9996101840063,84,78,mixed,pitch.overhand_four_seam,38.6548823131839,8,88,0,96,0.0
before,25.6862136318289,38,28,fresh,pitch.overhand_four_seam,11.4416335761973,3,80,0,96,0.35
before,16.8106104930789,70,53,repeat,pitch.overhand_four_seam,24.0413136025251,3,91,0,96,0.35
before,24.5902028577244,43,35,mixed,pitch.overhand_four_seam,13.08319413478,3,82,0,96,0.35
before,22.9933684537182,54,45,fresh,pitch.overhand_four_seam,17.6258509102021,5,80,0,96,0.35
before,14.1265327193051,78,68,repeat,pitch.overhand_four_seam,33.9006998137595,5,91,0,96,0.35
before,21.8980355869972,56,47,mixed,pitch.overhand_four_seam,19.259145017989,5,82,0,96,0.35
before,18.9526184803186,76,64,fresh,pitch.overhand_four_seam,30.9315184797741,8,80,0,96,0.35
before,10.1022203895329,91,87,repeat,pitch.overhand_four_seam,49.6208569903299,8,91,0,96,0.35
before,17.8655492760355,82,74,mixed,pitch.overhand_four_seam,33.927503560065,8,82,0,96,0.35
before,30.72,5,3,fresh,pitch.overhand_four_seam,1.3432189906851,3,10,0,96,0.85
before,26.4363929807215,4,4,repeat,pitch.overhand_four_seam,1.45678011258536,3,8,0,96,0.85
before,30.72,5,3,mixed,pitch.overhand_four_seam,1.3432189906851,3,10,0,96,0.85
before,30.72,5,5,fresh,pitch.overhand_four_seam,1.62130778781265,5,10,0,96,0.85
before,23.7531541023569,4,4,repeat,pitch.overhand_four_seam,1.86690634367542,5,8,0,96,0.85
before,30.7016134249413,5,5,mixed,pitch.overhand_four_seam,1.62130778781265,5,10,0,96,0.85
before,28.6021190130857,8,7,fresh,pitch.overhand_four_seam,2.50629818895399,8,10,0,96,0.85
before,19.72406899007,8,6,repeat,pitch.overhand_four_seam,3.34469562984477,8,8,0,96,0.85
before,27.5091692641729,8,8,mixed,pitch.overhand_four_seam,2.71212225352476,8,10,0,96,0.85
before,30.72,7,4,fresh,pitch.overhand_sinker,1.44735319154685,3,11,0,96,-0.85
before,26.5117957073661,7,6,repeat,pitch.overhand_sinker,2.27863298290151,3,10,0,96,-0.85
before,30.72,7,4,mixed,pitch.overhand_sinker,1.43672640904394,3,11,0,96,-0.85
before,30.6746262022479,7,5,fresh,pitch.overhand_sinker,1.83728210759278,5,11,0,96,-0.85
before,23.8288382904669,7,7,repeat,pitch.overhand_sinker,3.00408500661988,5,10,0,96,-0.85
before,30.348993834131,8,5,mixed,pitch.overhand_sinker,1.89000174514826,5,11,0,96,-0.85
before,28.6282717673149,9,8,fresh,pitch.overhand_sinker,2.93066242040186,8,11,0,96,-0.85
before,19.8191042490296,10,9,repeat,pitch.overhand_sinker,4.80958578418657,8,10,0,96,-0.85
before,27.5518471704442,9,8,mixed,pitch.overhand_sinker,3.16903612790607,8,11,0,96,-0.85
before,26.0443909698021,40,29,fresh,pitch.overhand_sinker,12.4892938000859,3,74,0,96,-0.35
before,17.2109176013794,59,48,repeat,pitch.overhand_sinker,22.987626939646,3,80,0,96,-0.35
before,24.929672089704,43,31,mixed,pitch.overhand_sinker,13.9574270214974,3,76,0,96,-0.35
before,23.3513757181646,55,46,fresh,pitch.overhand_sinker,19.2783431962349,5,75,0,96,-0.35
before,14.525959115712,75,66,repeat,pitch.overhand_sinker,32.9651498067364,5,81,0,96,-0.35
before,22.2368177467293,59,47,mixed,pitch.overhand_sinker,20.4115672929446,5,76,0,96,-0.35
before,19.3104521850488,66,64,fresh,pitch.overhand_sinker,30.3274960364253,8,75,0,96,-0.35
before,10.4898986681752,81,77,repeat,pitch.overhand_sinker,47.3378892099839,8,81,0,96,-0.35
before,18.199244663719,73,66,mixed,pitch.overhand_sinker,32.7612148955064,8,77,0,96,-0.35
before,24.5634361311087,50,37,fresh,pitch.overhand_sinker,17.4175575104809,3,86,0,96,0.0
before,15.7669165639591,68,56,repeat,pitch.overhand_sinker,28.0201756660788,3,94,0,96,0.0
before,23.4554832726915,50,40,mixed,pitch.overhand_sinker,18.3327901734129,3,86,0,96,0.0
before,21.8726788118582,66,51,fresh,pitch.overhand_sinker,24.1108522416927,5,86,0,96,0.0
before,13.0798307546268,84,75,repeat,pitch.overhand_sinker,40.033851735978,5,94,0,96,0.0
before,20.775406165417,67,58,mixed,pitch.overhand_sinker,26.0685536231556,5,86,0,96,0.0
before,17.8326116055136,79,73,fresh,pitch.overhand_sinker,37.8545533852698,8,86,0,96,0.0
before,9.0561519107289,94,92,repeat,pitch.overhand_sinker,56.6387017088809,8,94,0,96,0.0
before,16.7416524146086,81,73,mixed,pitch.overhand_sinker,39.1121673329113,8,86,0,96,0.0
before,26.0443909698021,41,29,fresh,pitch.overhand_sinker,12.3039546655381,3,74,0,96,0.35
before,17.2109176013794,56,49,repeat,pitch.overhand_sinker,22.5707224034991,3,80,0,96,0.35
before,23.2380142906177,45,35,mixed,pitch.overhand_sinker,15.5354225075601,3,78,0,96,0.35
before,23.3513757181646,54,45,fresh,pitch.overhand_sinker,18.9429026109602,5,75,0,96,0.35
before,14.525959115712,76,68,repeat,pitch.overhand_sinker,32.9186930440994,5,81,0,96,0.35
before,20.5459725389137,62,55,mixed,pitch.overhand_sinker,23.4959197610185,5,79,0,96,0.35
before,19.3104521850488,68,62,fresh,pitch.overhand_sinker,30.0722717668346,8,75,0,96,0.35
before,10.4898986681752,80,78,repeat,pitch.overhand_sinker,47.5850269556926,8,81,0,96,0.35
before,16.5107833650085,77,73,mixed,pitch.overhand_sinker,36.8143425137929,8,79,0,96,0.35
before,30.72,5,4,fresh,pitch.overhand_sinker,1.32605726933354,3,11,0,96,0.85
before,26.5117957073661,7,7,repeat,pitch.overhand_sinker,2.14337668410611,3,10,0,96,0.85
before,30.7162267082702,5,4,mixed,pitch.overhand_sinker,1.3084126593769,3,11,0,96,0.85
before,30.6746262022479,7,4,fresh,pitch.overhand_sinker,1.69686080501936,5,11,0,96,0.85
